customer_id,age,gender,tenure_months,contract_type,monthly_charges,total_charges,internet_service,phone_service,avg_monthly_gb_used,num_support_tickets,avg_monthly_minutes,satisfaction_score,payment_method,num_additional_services,last_interaction_date,churned,days_since_contact
TC-004711,32.87473853,Male,10.14961926,Month-to-month,69.24,656.42,DSL,Yes,11.7,4.0,324.0,7.8,Bank transfer,2.0,2024-06-14,1,16.0
TC-000692,59.38994705,Female,3.446550716,Month-to-month,98.48,251.15,DSL,No,9.46,1.0,306.8,6.0,Electronic check,5.0,2024-06-23,1,7.0
TC-000066,62.34360043,Male,1.386581514,Two year,94.35,120.78,Fiber optic,Yes,9.56,4.0,349.5,5.5,Bank transfer,0.0,2024-06-21,0,9.0
TC-003427,45.78853269,Female,67.60965934,Month-to-month,85.87,5834.73,Fiber optic,Yes,3.15,1.0,258.2,4.7,Credit card,4.0,2024-06-21,1,9.0
TC-004821,39.62541783,Female,27.31962257,One year,62.14,1626.23,DSL,Yes,28.8,0.0,335.8,10.0,Credit card,2.0,2024-06-19,0,11.0
TC-000394,69.47188149,Male,71.08059106,Month-to-month,50.9,981.625,No internet,Yes,7.31,4.0,282.7,5.2,Credit card,5.0,2024-05-28,0,33.0
TC-001425,26.32786209,Male,25.96379097,Month-to-month,84.25,2293.74,DSL,Yes,0.47,1.0,335.6,2.3,Credit card,5.0,2024-06-11,1,19.0
TC-000643,38.10612973,Female,37.51890719,Month-to-month,99.26,3624.68,Fiber optic,Yes,19.43,6.0,410.6,5.4,Mailed check,2.0,2024-06-19,0,11.0
TC-002836,37.50242706,Female,3.589712689,Month-to-month,106.82,289.3,No internet,No,7.75,1.0,361.7,7.4,Credit card,3.0,2024-06-25,0,5.0
TC-001739,56.25461388,Male,7.402491848,Month-to-month,84.02,547.54,Fiber optic,Yes,54.48,1.0,370.8,4.9,Bank transfer,3.0,2024-06-30,1,0.0
TC-002946,24.78462915,Female,2.476210499,Two year,30.42,8.06,DSL,No,8.86,0.0,160.9,7.0,Mailed check,3.0,2024-06-17,0,13.0
TC-002068,39.98581257,Male,73.58871609,Month-to-month,46.21,3428.4,DSL,Yes,0.46,1.0,212.9,6.7,Electronic check,3.0,2024-05-19,0,42.0
TC-003348,65.85873109,Female,6.63578249,Month-to-month,68.14,489.77,Fiber optic,Yes,8.86,4.0,319.3,2.8,Bank transfer,3.0,2024-06-30,1,0.0
TC-000531,51.57888688,Male,28.00330214,Month-to-month,90.12,2530.8,Fiber optic,No,32.38,1.0,109.8,3.0,Electronic check,4.0,2024-06-15,1,15.0
TC-004302,21.51573894,Female,8.862193112,Two year,20.88,101.19,Fiber optic,No,0.58,4.0,292.2,0.6,Electronic check,0.0,2024-06-13,0,17.0
TC-000829,35.69719774,Male,18.84259232,Month-to-month,87.38,1639.27,Fiber optic,Yes,0.76,2.0,279.9,8.8,Bank transfer,5.0,2024-06-09,1,21.0
TC-001205,42.73290105,Male,20.99739572,Month-to-month,15.0,338.85,DSL,No,27.74,3.0,300.9,4.6,Bank transfer,4.0,2024-06-30,1,0.0
TC-000180,82.8025375,Female,14.78160248,Month-to-month,69.23,880.21,Fiber optic,No,21.7,3.0,504.8,6.5,Bank transfer,3.0,2024-06-04,1,26.0
TC-002766,54.30516019,Female,20.37274033,One year,82.48,1746.41,Fiber optic,Yes,5.99,2.0,427.5,2.3,Bank transfer,1.0,2024-06-27,0,3.0
TC-001778,41.44444804,Male,35.13320033,Month-to-month,15.0,513.9,No internet,Yes,15.59,2.0,140.7,5.4,Electronic check,5.0,2024-06-25,0,5.0
TC-004928,45.57832431,Female,25.54919634,One year,27.67,636.97,Fiber optic,Yes,34.78,2.0,412.5,4.4,Electronic check,0.0,2024-06-23,0,7.0
TC-000492,64.19916208,Male,7.49825141,Two year,36.99,342.27,Fiber optic,No,27.63,2.0,195.4,5.7,Credit card,1.0,2024-06-22,0,8.0
